Symbol,Weight
AAPL,0.062101371039916614
MSFT,0.05643907221963058
NVDA,0.04993990087738868
GOOGL,0.03849167619115393
GOOG,0.03849156496696205
AMZN,0.038037924892862805
META,0.026138783768837177
AVGO,0.016502817580784618
TSLA,0.015842143168256405
WMT,0.015737892190654062
LLY,0.015380324046876526
JPM,0.01355084885762749
V,0.0132309938532514
MA,0.009950473614666812
XOM,0.009695030303116433
NFLX,0.009163318984675786
COST,0.008992138171415804
PG,0.008147408745417976
UNH,0.008047568078302028
JNJ,0.00786800950624788
ORCL,0.007384867893449833
HD,0.0072910631733320306
KO,0.006582316851239492
ABBV,0.006362505972866928
TMUS,0.006076596727490631
BAC,0.005995940877080697
PM,0.00528672659954673
CVX,0.004963629138698939
CRM,0.00484096106259304
ABT,0.00472845643611795
MCD,0.00472231333410568
IBM,0.004623231907738544
PLTR,0.004562433983854362
CSCO,0.004531900230399251
WFC,0.00447096870184556
LIN,0.004449639089366328
GE,0.004175387020953808
MRK,0.004112875295039928
PEP,0.004071664019164727
T,0.0040179308660535425
VZ,0.0037686801648447446
ACN,0.003679213527308249
MS,0.003671231156952275
AXP,0.003660096530231427
ISRG,0.0035499455839874674
TMO,0.003396509776705742
INTU,0.003376518245510481
GS,0.0033447796763427626
NOW,0.0032853310239813684
UBER,0.0032219579887767416
DIS,0.0032211143125895855
PGR,0.003216287928678091
QCOM,0.0031758670905811305
BX,0.0031579098091635027
RTX,0.00314316683907146
BKNG,0.0031228928391206115
AMGN,0.003097955561466477
ADBE,0.003086563898350989
SPGI,0.0029605499408388706
BSX,0.002909687253533265
TJX,0.0029064800632687448
AMD,0.002900477008790758
CAT,0.0028801707945160433
SCHW,0.002878177575614071
BLK,0.002846624154034049
DHR,0.002844971050572478
NEE,0.0028392797968397046
TXN,0.0027638560612729102
SYK,0.002750072060737652
GILD,0.0027223043308591626
UNP,0.002690434022061737
CMCSA,0.0026763355079960976
PFE,0.0026446049076348094
HON,0.002640985374024798
VRTX,0.002609683902367226
DE,0.002554021280805511
LOW,0.0025377471130353713
BA,0.0025308423965872684
C,0.0024952201363538334
FI,0.0024773540723374695
ADP,0.0024664186657773752
CB,0.00240843593470098
COP,0.0023485174618583533
AMAT,0.0023255169432648878
LMT,0.0022433685523654975
PANW,0.0022422910680066992
MMC,0.0022389590896244645
MDT,0.0022130245243230525
ETN,0.0021642149067421807
AMT,0.002140889023477664
BMY,0.0020980816126294137
SO,0.002091700972365897
MO,0.002052936967810113
WELL,0.0019856339546428458
CME,0.0019807626402270112
DUK,0.001970521706669849
KKR,0.00195349694515362
ELV,0.0019487041319585763
SBUX,0.0019219620044225525
PLD,0.0019175964548914222
WM,0.0019148835001746435
ICE,0.001910538466081344
CI,0.0018913326252902795
CRWD,0.001890223943902053
GEV,0.0018447139208304763
ADI,0.0018323327693250677
MDLZ,0.0018311057426838998
MCK,0.001803174058851837
ANET,0.0017845724909568792
INTC,0.0017607917075295524
AJG,0.0017506347007635163
KLAC,0.001750212693120865
NKE,0.0017430934970954404
SHW,0.0017280109202102158
CTAS,0.0017202342128797685
CVS,0.001710035836139925
UPS,0.001698698767825937
LRCX,0.001686523618444201
HCA,0.0016541470361148526
ORLY,0.0016509288251605886
APH,0.001649016481166429
AON,0.0016474879962735
MU,0.001623974422185192
CL,0.0016083559006802724
EQIX,0.0016016512521382878
MCO,0.0016004688169033142
RSG,0.001568734656011493
TT,0.0015440654354417424
DASH,0.0015355689922964882
GD,0.0015264253803396633
MMM,0.0015185366010719752
TDG,0.0015181813957640788
PH,0.0015101435828612398
FTNT,0.0015019348644928353
ABNB,0.0014777217309294053
WMB,0.0014703944981914322
CDNS,0.0014656340688693277
APO,0.0014606652637365288
MSI,0.0014506425398362942
ITW,0.0014344555202896673
ECL,0.0013901519236468915
ZTS,0.0013847202495448528
NOC,0.001383805023648898
COF,0.0013491610615665667
REGN,0.0013247820242352241
SNPS,0.0013229444513822494
CMG,0.0013212184418192967
CEG,0.001302616195728047
AZO,0.0012736711170867733
NEM,0.0012724617235491955
EOG,0.0012707462260287676
PNC,0.0012652003606260758
USB,0.0012591999341587203
MAR,0.0012572239244876562
PYPL,0.0012424684925387494
TRV,0.0012253551416318877
ROP,0.0012252848635411367
AFL,0.0012235436793361521
KMI,0.001223333438485655
APD,0.0012218674324261196
WDAY,0.0012166334525431774
DELL,0.0012143802301377883
CPRT,0.0012079062531095953
AEP,0.0011952630635118935
MNST,0.0011939811029710796
BDX,0.0011878482586777253
SPG,0.0011758441843106276
EMR,0.0011646478417272144
ADSK,0.0011512204876669727
COR,0.0011477308286468653
BK,0.0011299428419786098
RCL,0.0011222192035080056
OKE,0.0010865769364839586
O,0.0010800955840710906
CSX,0.0010800913453442662
PSA,0.0010770870205455687
PAYX,0.0010682040055139165
ALL,0.00106403742181993
CARR,0.0010634354378363088
DLR,0.0010566185478080104
JCI,0.0010467099304338923
HLT,0.001044620407658467
HWM,0.0010405345293232199
MET,0.001030518841709514
NSC,0.0010301293874888753
FDX,0.0010243720943921752
FCX,0.0010130434187572998
KR,0.00099825424654287
KDP,0.0009962971415934433
GWW,0.000995852499149549
EXC,0.0009897656026549729
AIG,0.0009863986123891677
TFC,0.000984938625321723
SRE,0.000975648692514915
SLB,0.0009740949448101116
CHTR,0.0009738913163734606
FAST,0.0009668704588103653
PCAR,0.0009621629287990311
FICO,0.0009474820984422363
KMB,0.0009474143635875801
D,0.000941880705718143
CCI,0.0009405967953629898
ROST,0.0009384581881309364
GM,0.0009300009108215409
AMP,0.0009273750195537382
